{'user_id': 154930, 'order_hour_of_day': 0, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2837095, 'order_dow': 'sunday'}
{'user_id': 138605, 'order_hour_of_day': 0, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3278891, 'order_dow': 'sunday'}
{'user_id': 147578, 'order_hour_of_day': 0, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3196256, 'order_dow': 'sunday'}
{'user_id': 68885, 'order_hour_of_day': 0, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2873333, 'order_dow': 'sunday'}
{'user_id': 126026, 'order_hour_of_day': 1, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 779032, 'order_dow': 'sunday'}
{'user_id': 136650, 'order_hour_of_day': 1, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 791861, 'order_dow': 'sunday'}
{'user_id': 72224, 'order_hour_of_day': 2, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1024842, 'order_dow': 'sunday'}
{'user_id': 20322, 'order_hour_of_day': 2, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2537448, 'order_dow': 'sunday'}
{'user_id': 15026, 'order_hour_of_day': 2, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2847109, 'order_dow': 'sunday'}
{'user_id': 115103, 'order_hour_of_day': 2, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 749230, 'order_dow': 'sunday'}
{'user_id': 133736, 'order_hour_of_day': 5, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 349606, 'order_dow': 'sunday'}
{'user_id': 192952, 'order_hour_of_day': 5, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 587788, 'order_dow': 'sunday'}
{'user_id': 15032, 'order_hour_of_day': 5, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3045723, 'order_dow': 'sunday'}
{'user_id': 194387, 'order_hour_of_day': 5, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 739926, 'order_dow': 'sunday'}
{'user_id': 9374, 'order_hour_of_day': 6, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1838588, 'order_dow': 'sunday'}
{'user_id': 157733, 'order_hour_of_day': 6, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 650865, 'order_dow': 'sunday'}
{'user_id': 2847, 'order_hour_of_day': 6, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3357024, 'order_dow': 'sunday'}
{'user_id': 178197, 'order_hour_of_day': 6, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 716621, 'order_dow': 'sunday'}
{'user_id': 68416, 'order_hour_of_day': 6, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2694552, 'order_dow': 'sunday'}
{'user_id': 36951, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 536328, 'order_dow': 'sunday'}
{'user_id': 185905, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1058065, 'order_dow': 'sunday'}
{'user_id': 22509, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2692240, 'order_dow': 'sunday'}
{'user_id': 138523, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2420387, 'order_dow': 'sunday'}
{'user_id': 123155, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3060021, 'order_dow': 'sunday'}
{'user_id': 85648, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 168507, 'order_dow': 'sunday'}
{'user_id': 138924, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 130797, 'order_dow': 'sunday'}
{'user_id': 50194, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2760367, 'order_dow': 'sunday'}
{'user_id': 6627, 'order_hour_of_day': 7, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3029295, 'order_dow': 'sunday'}
{'user_id': 11362, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1304463, 'order_dow': 'sunday'}
{'user_id': 194512, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1206482, 'order_dow': 'sunday'}
{'user_id': 98795, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 79389, 'order_dow': 'sunday'}
{'user_id': 131864, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1114102, 'order_dow': 'sunday'}
{'user_id': 83564, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2163439, 'order_dow': 'sunday'}
{'user_id': 85539, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 320822, 'order_dow': 'sunday'}
{'user_id': 99156, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3383905, 'order_dow': 'sunday'}
{'user_id': 204510, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1351493, 'order_dow': 'sunday'}
{'user_id': 113700, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 672535, 'order_dow': 'sunday'}
{'user_id': 17246, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1314743, 'order_dow': 'sunday'}
{'user_id': 56095, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 330590, 'order_dow': 'sunday'}
{'user_id': 153672, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2192736, 'order_dow': 'sunday'}
{'user_id': 23402, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 80524, 'order_dow': 'sunday'}
{'user_id': 106570, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1599351, 'order_dow': 'sunday'}
{'user_id': 57957, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2545361, 'order_dow': 'sunday'}
{'user_id': 200751, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 3078116, 'order_dow': 'sunday'}
{'user_id': 85212, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 982075, 'order_dow': 'sunday'}
{'user_id': 121401, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 743984, 'order_dow': 'sunday'}
{'user_id': 185770, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2170113, 'order_dow': 'sunday'}
{'user_id': 73016, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1065442, 'order_dow': 'sunday'}
{'user_id': 192608, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1351830, 'order_dow': 'sunday'}
{'user_id': 162019, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1333363, 'order_dow': 'sunday'}
{'user_id': 89158, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2612826, 'order_dow': 'sunday'}
{'user_id': 53796, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1238843, 'order_dow': 'sunday'}
{'user_id': 88827, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1545132, 'order_dow': 'sunday'}
{'user_id': 143744, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1840895, 'order_dow': 'sunday'}
{'user_id': 33450, 'order_hour_of_day': 8, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 1102177, 'order_dow': 'sunday'}
{'user_id': 100482, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 2691705, 'order_dow': 'sunday'}
{'user_id': 70775, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 188860, 'order_dow': 'sunday'}
{'user_id': 64914, 'order_hour_of_day': 9, 'days_since_prior_order': None, 'order_number': 1, 'order_id': 558804, 'order_dow': 'sunday'}
